averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,winner
2.0398960876464844,5.0,19.0,6.0,29.24,3.78,20.0,15.0,94.0,1.71,18.0,25.0,5.0,36.95,2.99,83.0,7.0,15.0,3.0,22.56,1.0,4528.8,576.539921875,97.0,6.0,15.0,0.0,0.0,2.0,3.0,1.0,17.0,0.0,0.72,0
1.6369902038574218,8.0,12.0,1.0,19.16,6.16,12.0,12.0,95.0,0.0,30.0,13.0,7.0,43.4,2.79,1.15,11.0,24.0,6.0,33.93,0.0,5065.12,551.1965234375,79.0,2.0,28.0,0.0,3.0,0.0,4.0,9.0,30.0,0.0,2.31,1
2.005632019042969,3.0,21.0,5.0,28.32,2.32,15.0,15.0,92.0,0.0,17.0,26.0,5.0,24.25,3.66,77.0,5.0,7.0,10.0,22.32,2.0,4483.36,522.2007421875,30.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.65,0
1.953590698242188,3.0,14.0,5.0,23.78,4.32,15.0,15.0,95.0,0.0,23.0,19.0,6.0,47.35,3.46,97.0,2.0,16.0,7.0,27.57,1.0,4716.0,617.911796875,1.17,8.0,20.0,0.0,1.0,0.0,3.0,5.0,23.0,0.0,1.21,1
1.8582893371582032,4.0,22.0,3.0,28.66,3.32,12.0,12.0,92.0,0.0,25.0,25.0,4.0,37.0,4.56,1.12,13.0,18.0,7.0,32.31,1.0,5575.36,581.5062109375,45.0,4.0,19.0,1.0,3.0,1.0,8.0,6.0,24.0,0.0,1.0,0
1.987030792236328,3.0,11.0,6.0,24.97,6.97,13.0,12.0,97.0,63.0,24.0,17.0,5.0,31.75,3.45,82.0,10.0,20.0,4.0,19.76,92.0,5602.56,811.9525,20.0,5.0,16.0,0.0,0.0,2.0,5.0,3.0,24.0,0.0,1.41,1
2.0019618225097657,3.0,15.0,7.0,23.16,1.16,18.0,14.0,97.0,95.0,21.0,22.0,4.0,41.25,3.06,89.0,6.0,10.0,11.0,22.63,1.0,5614.88,675.54125,1.05,4.0,17.0,0.0,0.0,1.0,6.0,3.0,20.0,0.0,0.95,0
1.80033935546875,4.0,14.0,5.0,25.91,6.16,17.0,16.0,97.0,1.65,29.0,19.0,8.0,50.3,4.52,1.2,9.0,20.0,9.0,27.56,1.01,5656.8,686.35921875,79.0,6.0,22.0,0.0,1.0,2.0,8.0,3.0,30.0,0.0,1.53,1
1.986641845703125,2.0,20.0,3.0,25.77,2.51,20.0,18.0,93.0,0.0,12.0,23.0,4.0,24.5,3.35,74.0,8.0,10.0,2.0,21.3,90.0,5589.12,671.550625,40.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.52,0
1.803758239746093,5.0,16.0,10.0,31.58,4.64,14.0,9.0,89.0,0.0,18.0,26.0,15.0,38.1,3.15,1.01,8.0,16.0,2.0,27.82,1.0,5515.68,662.61203125,81.0,3.0,12.0,0.0,1.0,0.0,5.0,6.0,18.0,0.0,0.69,1
