averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,matchGame.matchId,winner
1.8671296691894532,3.0,16.0,12.0,31.59,2.94,11.0,14.0,92.0,0.0,24.0,28.0,12.0,43.6,4.78,1.2,9.0,15.0,9.0,32.41,31.0,5456.96,692.062421875,87.0,13.0,19.0,0.0,4.0,0.0,3.0,3.0,24.0,0.0,0.86,8715,1
1.9718624877929687,3.0,21.0,8.0,35.53,6.53,18.0,15.0,96.0,1.05,28.0,29.0,11.0,40.65,4.01,1.22,15.0,14.0,14.0,32.36,85.0,5510.4,795.425,44.0,5.0,25.0,0.0,0.0,0.0,10.0,7.0,28.0,0.0,0.97,8715,0
1.857422790527344,3.0,14.0,12.0,29.04,2.88,21.0,17.0,95.0,1.24,22.0,26.0,12.0,39.9,4.32,1.08,8.0,13.0,9.0,28.2,71.0,5751.84,667.460078125,59.0,7.0,18.0,0.0,0.0,1.0,8.0,5.0,23.0,0.0,0.85,8715,1
1.7656399536132812,4.0,18.0,8.0,29.52,3.28,19.0,15.0,93.0,0.0,23.0,26.0,13.0,40.9,3.98,1.05,13.0,15.0,8.0,29.34,35.0,5805.6,674.217890625,84.0,15.0,18.0,0.0,2.0,0.0,4.0,6.0,23.0,0.0,0.88,8715,0
1.688216552734375,6.0,16.0,7.0,31.0,6.06,10.0,8.0,92.0,0.0,41.0,23.0,6.0,65.1,4.36,1.5,21.0,30.0,11.0,41.82,65.0,5706.24,592.1713671875,1.02,9.0,37.0,0.0,3.0,0.0,5.0,9.0,39.0,0.0,1.78,8715,1
2.02381576538086,4.0,16.0,8.0,30.43,4.43,15.0,7.0,94.0,1.8,26.0,24.0,5.0,38.4,4.17,1.19,12.0,15.0,11.0,29.27,0.0,4882.88,696.55640625,29.0,6.0,22.0,0.0,0.0,0.0,4.0,7.0,26.0,0.0,1.08,8701,1
1.5354217529296874,8.0,11.0,6.0,21.4,4.4,14.0,11.0,92.0,0.0,23.0,17.0,11.0,43.5,3.59,1.03,6.0,16.0,7.0,27.87,35.0,5310.08,501.048828125,1.06,3.0,17.0,0.0,1.0,0.0,6.0,6.0,23.0,0.0,1.35,8701,0
1.4533100891113282,4.0,9.0,8.0,21.99,4.91,9.0,11.0,91.0,0.0,16.0,17.0,8.0,36.2,3.63,87.0,7.0,14.0,2.0,23.56,6.0,5371.36,511.8496875,1.12,9.0,15.0,0.0,1.0,1.0,3.0,3.0,17.0,0.0,0.94,8701,1
1.6767840576171875,4.0,16.0,4.0,21.22,1.22,14.0,10.0,95.0,0.0,22.0,20.0,6.0,33.35,4.07,1.14,11.0,15.0,7.0,30.3,33.0,5224.16,580.616484375,36.0,4.0,18.0,0.0,3.0,0.0,4.0,6.0,22.0,0.0,1.1,8701,0
1.92633056640625,5.0,15.0,9.0,30.22,5.58,13.0,13.0,96.0,1.18,22.0,24.0,9.0,38.6,3.09,90.0,7.0,14.0,8.0,22.38,1.0,5044.0,672.242265625,61.0,6.0,16.0,0.0,0.0,0.0,6.0,4.0,22.0,0.0,0.92,8701,1
2.0356480407714845,3.0,17.0,10.0,31.63,4.63,18.0,13.0,94.0,88.0,26.0,27.0,4.0,39.35,3.66,1.2,12.0,15.0,11.0,28.38,3.0,4799.84,667.0325,46.0,9.0,20.0,1.0,0.0,0.0,7.0,4.0,26.0,0.0,0.96,8701,0
1.9009451293945312,4.0,21.0,5.0,33.21,7.21,7.0,5.0,92.0,0.0,22.0,26.0,5.0,35.35,3.49,30.0,12.0,15.0,7.0,25.72,1.63,4926.24,637.73046875,71.0,1.0,20.0,0.0,4.0,0.0,5.0,5.0,23.0,0.0,0.85,8701,1
1.6491937255859375,3.0,14.0,8.0,27.39,4.61,8.0,7.0,91.0,1.04,20.0,22.0,9.0,43.95,3.8,1.05,9.0,15.0,5.0,27.6,0.0,4706.88,535.09234375,1.13,3.0,16.0,0.0,0.0,2.0,3.0,3.0,20.0,0.0,0.91,8701,0
2.094313659667969,5.0,9.0,10.0,26.2,5.49,8.0,6.0,97.0,88.0,23.0,19.0,5.0,32.9,3.18,96.0,2.0,18.0,5.0,24.85,0.0,3954.56,623.17890625,20.0,4.0,17.0,0.0,0.0,1.0,5.0,5.0,22.0,0.0,1.21,8701,1
1.9332521057128904,3.0,15.0,5.0,22.24,1.72,19.0,15.0,95.0,0.0,15.0,20.0,4.0,20.2,2.18,66.0,5.0,10.0,5.0,19.03,10.0,4097.12,505.774453125,27.0,0.0,11.0,0.0,1.0,0.0,2.0,2.0,14.0,0.0,0.75,8701,0
1.5416563415527345,3.0,14.0,3.0,25.32,7.22,9.0,9.0,91.0,0.0,16.0,17.0,5.0,31.3,2.7,76.0,3.0,14.0,2.0,21.03,50.0,4294.56,413.4732421875,1.03,1.0,14.0,0.0,1.0,1.0,6.0,2.0,17.0,0.0,0.94,8701,1
1.997533416748047,3.0,19.0,1.0,24.13,3.3,8.0,11.0,95.0,0.0,14.0,20.0,5.0,20.9,2.74,72.0,9.0,10.0,4.0,21.26,1.0,4040.96,552.390625,4.0,0.0,14.0,0.0,0.0,1.0,3.0,3.0,14.0,0.0,0.7,8701,0
1.7880934143066407,4.0,13.0,1.0,22.47,6.32,11.0,10.0,92.0,99.0,22.0,14.0,6.0,38.8,3.43,1.1,12.0,18.0,4.0,26.76,2.0,4320.8,472.4065625,74.0,0.0,18.0,0.0,2.0,1.0,4.0,3.0,22.0,0.0,1.57,8701,1
2.011710205078125,2.0,16.0,6.0,26.42,3.8,18.0,19.0,94.0,57.0,17.0,22.0,10.0,23.9,3.17,96.0,8.0,12.0,5.0,29.4,1.0,3886.4,552.192265625,4.0,4.0,13.0,1.0,1.0,0.0,5.0,6.0,17.0,0.0,0.77,8701,0
