averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,winner
1.9218074035644528,3.0,15.0,11.0,32.62,5.94,22.0,21.0,97.0,1.22,20.0,26.0,10.0,48.3,3.95,95.0,6.0,16.0,4.0,25.42,1.0,5748.64,891.16,1.03,4.0,16.0,0.0,0.0,1.0,4.0,3.0,20.0,0.0,0.77,1
2.001759796142578,3.0,18.0,9.0,31.9,4.3,22.0,21.0,97.0,1.47,30.0,27.0,9.0,54.85,3.9,1.35,12.0,19.0,11.0,35.5,73.0,5940.16,917.7646875,86.0,4.0,26.0,1.0,0.0,1.0,10.0,2.0,29.0,0.0,1.11,0
1.7288351440429688,3.0,21.0,8.0,36.5,5.79,13.0,18.0,92.0,0.0,34.0,29.0,9.0,51.3,5.27,32.0,14.0,20.0,14.0,44.87,30.0,5985.28,769.777734375,48.0,2.0,30.0,0.0,1.0,0.0,8.0,9.0,34.0,2.0,1.17,1
2.116336364746093,3.0,17.0,12.0,36.96,6.38,24.0,21.0,95.0,0.0,19.0,29.0,14.0,32.9,3.31,1.05,9.0,15.0,4.0,30.73,61.0,5921.92,833.697890625,32.0,0.0,14.0,0.0,0.0,0.0,3.0,3.0,19.0,2.0,0.66,0
2.0172134399414063,4.0,25.0,8.0,38.25,5.01,21.0,16.0,98.0,1.43,26.0,33.0,8.0,38.9,5.64,1.53,12.0,16.0,10.0,35.41,36.0,5183.84,843.388671875,44.0,3.0,23.0,0.0,0.0,0.0,8.0,6.0,27.0,0.0,0.79,1
2.0174908447265625,4.0,25.0,6.0,35.98,4.98,16.0,15.0,94.0,91.0,25.0,31.0,9.0,31.8,3.85,1.22,9.0,14.0,11.0,27.55,20.0,5396.96,867.55015625,13.0,1.0,19.0,0.0,1.0,1.0,3.0,5.0,25.0,0.0,0.81,0
1.8008468627929688,7.0,14.0,13.0,32.98,3.97,18.0,17.0,95.0,0.0,33.0,27.0,10.0,57.5,4.71,1.28,16.0,28.0,5.0,34.83,1.3,5253.6,670.0903125,1.17,0.0,24.0,0.0,3.0,0.0,7.0,3.0,32.0,1.0,1.22,1
1.569055938720703,6.0,21.0,3.0,32.19,8.19,14.0,17.0,93.0,0.0,37.0,24.0,8.0,54.05,4.69,1.39,11.0,24.0,13.0,39.21,0.0,5697.28,609.5925390625,57.0,3.0,31.0,0.0,0.0,1.0,6.0,6.0,36.0,4.0,1.54,0
1.9233769226074215,5.0,16.0,18.0,37.1,2.4,17.0,16.0,97.0,75.0,23.0,34.0,13.0,47.15,4.16,1.06,13.0,18.0,5.0,28.58,1.0,5143.04,799.733671875,89.0,5.0,19.0,0.0,0.0,1.0,5.0,3.0,23.0,1.0,0.68,1
1.8689215087890625,3.0,24.0,8.0,37.56,4.64,26.0,24.0,97.0,1.24,35.0,32.0,15.0,55.85,5.62,1.79,18.0,20.0,15.0,44.67,1.0,5352.0,731.262578125,56.0,2.0,28.0,0.0,0.0,0.0,11.0,10.0,35.0,1.0,1.09,0
1.705814971923828,6.0,14.0,13.0,35.51,7.71,9.0,14.0,95.0,0.0,38.0,27.0,11.0,51.9,5.18,26.0,16.0,31.0,7.0,44.71,96.0,5604.8,702.075625,30.0,0.0,36.0,0.0,1.0,2.0,4.0,8.0,37.0,1.0,1.41,1
1.916314849853516,4.0,23.0,10.0,38.63,5.63,19.0,16.0,95.0,0.0,24.0,33.0,12.0,47.5,3.66,1.12,8.0,11.0,13.0,29.78,62.0,5298.08,713.456640625,86.0,3.0,20.0,1.0,0.0,0.0,9.0,5.0,24.0,0.0,0.73,0
1.5532318115234376,4.0,11.0,5.0,20.73,3.87,13.0,11.0,98.0,0.0,18.0,16.0,7.0,26.3,2.96,79.0,13.0,14.0,4.0,20.83,1.0,4708.8,497.87421875,38.0,0.0,16.0,0.0,2.0,0.0,5.0,3.0,18.0,1.0,1.13,1
1.8927581787109369,2.0,19.0,4.0,24.58,1.58,13.0,8.0,93.0,0.0,12.0,23.0,6.0,20.25,2.42,59.0,7.0,6.0,6.0,16.36,1.0,4096.64,583.6929296875,18.0,2.0,10.0,0.0,1.0,0.0,2.0,1.0,12.0,1.0,0.52,0
