averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,matchGame.matchId,winner
1.4609602355957032,4.0,3.0,2.0,0.0,0.0,7.63,1.57,7.0,7.0,88.0,0.0,11.0,5.0,7.0,13.75,2.44,57.0,5.0,9.0,2.0,16.05,0.0,3719.2,320.9176171875,8.0,0.0,3.0,0.0,3.0,11.0,0.0,2.2,3.0,6.0,8701,1
2.1416319274902342,4.0,12.0,1.0,0.0,0.0,16.24,2.42,10.0,5.0,98.0,0.0,6.0,13.0,1.0,6.75,1.82,45.0,3.0,5.0,1.0,11.44,0.0,3297.12,429.339375,5.0,0.0,1.0,0.0,1.0,6.0,0.0,0.46,0.0,1.0,8701,0
1.754247283935547,4.0,6.0,1.0,0.0,0.0,10.66,3.66,5.0,5.0,92.0,86.0,13.0,7.0,2.0,16.75,1.53,56.0,7.0,10.0,3.0,13.8,0.0,3613.92,393.1038671875,7.0,0.0,0.0,0.0,1.0,13.0,0.0,1.86,3.0,7.0,8701,1
2.445152740478516,2.0,11.0,2.0,0.0,0.0,16.67,3.59,7.0,4.0,95.0,30.0,8.0,13.0,1.0,8.25,1.3,46.0,2.0,8.0,0.0,8.54,1.0,3372.16,500.988984375,6.0,1.0,0.0,1.0,2.0,8.0,0.0,0.62,1.0,0.0,8701,0
1.814567108154297,3.0,9.0,1.0,0.0,0.0,13.63,3.63,4.0,3.0,93.0,0.0,14.0,10.0,6.0,21.75,2.83,21.0,5.0,9.0,5.0,19.39,30.0,3490.88,411.3058984375,12.0,2.0,1.0,0.0,2.0,14.0,0.0,1.4,2.0,6.0,8701,1
2.267294158935547,3.0,11.0,5.0,0.0,0.0,18.43,1.47,6.0,4.0,96.0,34.0,10.0,16.0,5.0,13.75,1.66,60.0,8.0,5.0,5.0,14.65,69.0,3200.0,449.765390625,10.0,0.0,0.0,0.0,4.0,11.0,0.0,0.63,1.0,3.0,8701,0
2.2951597595214843,7.0,17.0,9.0,0.0,0.0,33.54,5.14,17.0,16.0,95.0,1.07,29.0,26.0,5.0,35.5,4.14,1.44,11.0,20.0,9.0,36.86,1.0,7325.6,1001.301171875,25.0,1.0,10.0,0.0,5.0,29.0,0.0,1.12,1.0,2.0,10901,0
2.482111358642578,7.0,16.0,8.0,0.0,0.0,33.86,7.82,17.0,14.0,94.0,82.0,32.0,24.0,10.0,40.0,4.73,1.54,17.0,26.0,6.0,38.71,48.0,7465.28,1069.249296875,22.0,2.0,2.0,1.0,5.0,31.0,0.0,1.33,2.0,4.0,10901,1
1.886363677978516,3.0,19.0,5.0,0.0,0.0,26.44,2.25,18.0,17.0,97.0,0.0,14.0,24.0,7.0,18.25,3.42,81.0,8.0,9.0,5.0,22.37,0.0,7465.92,805.288984375,12.0,0.0,3.0,0.0,3.0,14.0,0.0,0.58,2.0,4.0,10901,0
2.2295477294921877,5.0,15.0,7.0,0.0,0.0,32.01,8.85,19.0,10.0,96.0,1.73,26.0,22.0,3.0,33.0,4.15,1.08,5.0,20.0,6.0,25.11,0.0,7636.32,1019.379296875,23.0,0.0,2.0,1.0,7.0,25.0,0.0,1.18,2.0,6.0,10901,1
2.508301239013672,5.0,22.0,7.0,0.0,0.0,34.94,3.65,26.0,17.0,95.0,1.13,25.0,29.0,5.0,31.0,3.79,1.24,14.0,19.0,6.0,31.43,3.0,7156.64,1048.15,23.0,1.0,2.0,1.0,5.0,25.0,0.0,0.86,1.0,7.0,10901,0
2.016892242431641,3.0,15.0,8.0,0.0,0.0,30.93,7.41,11.0,14.0,94.0,0.0,21.0,23.0,11.0,28.0,4.06,1.12,9.0,13.0,8.0,29.81,0.0,7570.88,922.050859375,16.0,1.0,9.0,0.0,5.0,21.0,0.0,0.91,0.0,1.0,10901,1
