averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,winner
2.0308406066894533,4.0,15.0,10.0,0.0,1.0,30.58,4.58,23.0,13.0,93.0,1.31,25.0,26.0,7.0,31.5,2.97,94.0,8.0,18.0,7.0,24.02,0.0,6516.48,847.790625,20.0,0.0,0.0,0.0,6.0,25.0,0.0,0.96,1.0,4.0,1
1.6654722595214844,6.0,13.0,7.0,0.0,0.0,26.91,6.91,18.0,19.0,88.0,0.0,26.0,20.0,11.0,35.0,3.9,1.22,9.0,18.0,9.0,35.8,60.0,6763.04,647.3086328125,22.0,1.0,0.0,0.0,7.0,27.0,0.0,1.3,4.0,4.0,0
1.8268840026855468,5.0,17.0,6.0,0.0,0.0,29.83,5.65,12.0,11.0,90.0,0.0,20.0,23.0,9.0,26.25,2.82,1.03,9.0,10.0,10.0,28.4,30.0,6682.08,708.5253125,17.0,0.0,2.0,0.0,2.0,20.0,0.0,0.87,2.0,5.0,1
2.044319763183593,4.0,17.0,8.0,1.0,0.0,28.09,3.09,9.0,6.0,91.0,1.07,30.0,25.0,6.0,34.0,3.13,1.25,13.0,16.0,13.0,31.99,0.0,6553.6,817.295859375,20.0,0.0,0.0,3.0,6.0,30.0,0.0,1.2,2.0,2.0,0
1.8106288146972656,4.0,15.0,7.0,0.0,0.0,29.34,6.87,17.0,16.0,92.0,0.0,19.0,22.0,12.0,29.0,3.44,86.0,3.0,15.0,4.0,23.6,32.0,6528.64,691.73375,14.0,0.0,1.0,0.0,3.0,19.0,0.0,0.86,2.0,6.0,1
2.1124693298339845,3.0,20.0,3.0,0.0,0.0,29.3,5.04,25.0,12.0,95.0,1.38,17.0,23.0,4.0,21.25,2.88,97.0,6.0,12.0,5.0,25.11,1.0,7735.36,1010.750078125,15.0,2.0,0.0,1.0,4.0,17.0,0.0,0.74,2.0,3.0,0
1.6548643493652344,4.0,16.0,3.0,0.0,0.0,25.13,6.13,19.0,15.0,93.0,92.0,20.0,19.0,5.0,23.75,3.76,94.0,8.0,17.0,3.0,25.91,1.0,8027.84,781.81953125,13.0,0.0,1.0,0.0,4.0,20.0,0.0,1.05,2.0,6.0,1
1.58804931640625,2.0,18.0,3.0,0.0,0.0,27.81,5.66,17.0,12.0,95.0,0.0,17.0,21.0,6.0,20.0,4.03,85.0,13.0,14.0,3.0,25.73,75.0,7877.28,727.391875,14.0,0.0,1.0,0.0,4.0,17.0,0.0,0.81,2.0,7.0,0
2.261095123291016,6.0,20.0,5.0,0.0,0.0,34.19,7.0,19.0,10.0,95.0,1.07,21.0,25.0,5.0,24.5,3.65,1.14,12.0,17.0,4.0,30.2,18.0,7585.76,991.1678125,19.0,1.0,0.0,1.0,3.0,21.0,0.0,0.84,3.0,5.0,1
1.8904635620117187,3.0,20.0,4.0,0.0,0.0,32.91,7.61,26.0,19.0,94.0,1.29,21.0,24.0,8.0,29.75,4.16,1.2,14.0,15.0,6.0,33.07,1.0,7686.88,862.497421875,17.0,1.0,0.0,0.0,4.0,20.0,0.0,0.88,3.0,9.0,0
2.100281219482422,4.0,20.0,6.0,0.0,0.0,33.31,6.18,21.0,13.0,96.0,1.27,21.0,26.0,8.0,26.0,2.73,1.01,8.0,16.0,5.0,27.48,0.0,7574.08,973.875546875,19.0,0.0,1.0,1.0,6.0,20.0,0.0,0.81,1.0,4.0,1
1.9159869384765624,4.0,17.0,6.0,0.0,0.0,29.5,5.96,19.0,18.0,97.0,1.4,30.0,23.0,3.0,36.0,3.76,1.18,11.0,22.0,8.0,32.15,0.0,7749.28,876.244609375,24.0,0.0,1.0,0.0,5.0,30.0,0.0,1.3,2.0,5.0,0
1.7398123168945312,6.0,7.0,8.0,0.0,0.0,24.25,7.53,17.0,16.0,93.0,47.0,29.0,15.0,9.0,33.75,4.5,1.2,15.0,25.0,4.0,35.16,63.0,8171.52,861.223828125,27.0,1.0,3.0,0.0,7.0,30.0,0.0,1.93,1.0,4.0,1
1.7830503845214845,5.0,19.0,7.0,0.0,0.0,32.62,6.17,21.0,18.0,94.0,1.1,23.0,26.0,3.0,25.5,3.49,1.08,7.0,15.0,8.0,29.73,49.0,7120.96,783.056015625,19.0,1.0,0.0,0.0,3.0,24.0,0.0,0.88,2.0,2.0,0
2.174950256347656,4.0,21.0,4.0,0.0,0.0,33.06,4.63,22.0,17.0,97.0,78.0,38.0,25.0,6.0,45.0,5.02,1.72,29.0,27.0,11.0,44.46,44.0,7081.6,998.742421875,27.0,0.0,0.0,2.0,6.0,38.0,0.0,1.52,2.0,4.0,1
2.2835752868652346,6.0,21.0,6.0,1.0,0.0,31.28,3.92,19.0,16.0,95.0,1.08,27.0,27.0,6.0,32.25,3.53,1.17,10.0,18.0,8.0,30.65,1.0,7069.6,992.154375,16.0,0.0,0.0,1.0,4.0,25.0,0.0,1.0,2.0,5.0,0
2.20446304321289,9.0,17.0,9.0,0.0,1.0,31.94,4.14,23.0,12.0,95.0,1.42,23.0,27.0,10.0,28.75,4.1,1.05,14.0,17.0,6.0,27.6,2.17,7136.16,932.786796875,19.0,1.0,3.0,0.0,5.0,22.0,0.0,0.85,2.0,6.0,1
2.4090310668945314,5.0,21.0,5.0,0.0,0.0,34.79,7.29,18.0,7.0,100.0,1.38,28.0,26.0,7.0,31.75,4.68,1.22,15.0,21.0,7.0,30.33,1.0,7070.72,1045.90546875,19.0,1.0,1.0,0.0,3.0,28.0,0.0,1.08,2.0,2.0,0
