averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,winner
2.179877014160156,3.0,13.0,4.0,0.0,0.0,22.45,5.31,13.0,6.0,94.0,81.0,17.0,17.0,8.0,24.5,2.82,94.0,4.0,12.0,5.0,23.78,0.0,5205.28,755.117265625,13.0,0.0,2.0,1.0,5.0,17.0,1.0,1.0,1.0,3.0,0
2.194959869384766,2.0,10.0,6.0,0.0,0.0,19.77,3.29,10.0,5.0,94.0,1.06,11.0,16.0,9.0,18.0,2.32,69.0,9.0,9.0,2.0,18.19,0.0,5134.56,759.691875,10.0,0.0,1.0,0.0,0.0,11.0,0.0,0.69,2.0,6.0,1
1.94564193725586,4.0,10.0,5.0,0.0,0.0,21.07,4.54,14.0,13.0,95.0,0.0,19.0,15.0,4.0,23.0,2.57,75.0,12.0,13.0,6.0,21.21,0.0,5341.76,661.193359375,18.0,1.0,1.0,0.0,5.0,19.0,0.0,1.27,2.0,2.0,0
2.059776306152344,5.0,16.0,3.0,0.0,0.0,21.94,2.94,15.0,11.0,96.0,0.0,12.0,19.0,2.0,14.2,2.17,66.0,6.0,9.0,3.0,17.19,29.0,5142.56,644.0570703125,10.0,0.0,4.0,0.0,2.0,12.0,0.0,0.63,2.0,0.0,1
1.8692756652832032,7.0,10.0,1.0,0.0,0.0,15.28,3.97,5.0,9.0,93.0,1.05,23.0,11.0,3.0,26.0,3.04,97.0,14.0,19.0,4.0,23.86,1.0,5522.08,680.245625,16.0,2.0,0.0,1.0,2.0,23.0,0.0,2.09,0.0,2.0,0
1.9220181274414063,3.0,9.0,6.0,0.0,0.0,19.06,3.44,12.0,14.0,88.0,0.0,15.0,15.0,3.0,19.2,2.47,80.0,6.0,11.0,4.0,20.93,13.0,4289.76,551.6426171875,8.0,1.0,4.0,1.0,3.0,15.0,1.0,1.0,1.0,3.0,0
2.457698974609375,4.0,11.0,4.0,0.0,0.0,19.82,3.59,10.0,9.0,97.0,80.0,17.0,15.0,7.0,25.5,2.97,78.0,4.0,11.0,6.0,21.81,0.0,4335.68,675.92953125,13.0,0.0,3.0,1.0,4.0,17.0,1.0,1.13,1.0,5.0,1
2.417333679199219,2.0,17.0,4.0,0.0,0.0,23.65,1.65,14.0,11.0,97.0,13.0,9.0,21.0,4.0,13.0,2.11,54.0,6.0,5.0,4.0,14.79,1.0,3997.6,609.4403515625,9.0,0.0,2.0,0.0,0.0,9.0,1.0,0.43,1.0,2.0,0
1.6088084411621093,4.0,3.0,3.0,0.0,0.0,11.78,4.54,4.0,6.0,95.0,0.0,9.0,6.0,7.0,13.2,2.41,58.0,5.0,8.0,1.0,15.76,57.0,4775.52,528.869140625,8.0,0.0,3.0,0.0,3.0,9.0,1.0,1.5,2.0,2.0,1
2.28390640258789,3.0,11.0,4.0,0.0,0.0,18.05,3.05,12.0,5.0,95.0,1.01,14.0,15.0,4.0,18.25,1.94,66.0,5.0,10.0,4.0,15.54,1.0,4348.64,666.680546875,7.0,0.0,1.0,2.0,2.0,14.0,1.0,0.93,1.0,2.0,0
2.532134246826172,2.0,8.0,4.0,0.0,0.0,15.52,3.52,13.0,9.0,98.0,86.0,13.0,12.0,2.0,14.5,1.61,54.0,5.0,10.0,4.0,12.67,1.0,4461.6,743.77640625,12.0,0.0,0.0,2.0,4.0,14.0,1.0,1.08,0.0,0.0,1
1.834928741455078,2.0,10.0,4.0,0.0,0.0,17.12,3.12,11.0,9.0,94.0,0.0,10.0,13.0,3.0,13.65,1.83,52.0,3.0,6.0,4.0,13.17,0.0,4389.12,489.39125,9.0,1.0,4.0,0.0,2.0,10.0,0.0,0.77,1.0,1.0,0
2.234931488037109,5.0,10.0,5.0,0.0,0.0,17.93,2.93,6.0,9.0,96.0,0.0,25.0,15.0,1.0,28.55,3.46,19.0,11.0,18.0,7.0,27.49,0.0,4303.84,639.904921875,21.0,1.0,8.0,1.0,3.0,25.0,1.0,1.67,1.0,5.0,1
2.206703796386719,4.0,17.0,4.0,0.0,0.0,26.28,4.4,17.0,10.0,95.0,71.0,15.0,21.0,5.0,20.25,3.28,86.0,12.0,9.0,6.0,21.95,3.0,5174.4,810.66796875,14.0,1.0,0.0,1.0,4.0,15.0,0.0,0.71,1.0,2.0,0
2.075616607666016,5.0,11.0,6.0,0.0,0.0,21.29,2.55,18.0,15.0,96.0,17.0,19.0,17.0,8.0,25.15,2.61,75.0,7.0,11.0,8.0,19.92,1.0,5308.64,737.53484375,16.0,1.0,0.0,3.0,5.0,19.0,0.0,1.12,3.0,2.0,1
2.1320408630371093,4.0,15.0,3.0,0.0,0.0,20.77,2.76,14.0,7.0,95.0,1.69,20.0,18.0,3.0,22.75,3.4,100.0,8.0,16.0,4.0,25.45,1.0,5333.76,733.4740625,16.0,0.0,0.0,0.0,2.0,20.0,0.0,1.11,2.0,4.0,0
2.332620544433593,4.0,15.0,4.0,0.0,0.0,25.52,5.92,9.0,7.0,96.0,92.0,21.0,19.0,4.0,26.0,3.14,1.01,10.0,17.0,4.0,24.71,100.0,5261.28,834.051484375,16.0,0.0,0.0,0.0,4.0,22.0,0.0,1.11,3.0,8.0,1
1.887964782714844,3.0,13.0,5.0,0.0,0.0,22.42,4.08,10.0,6.0,95.0,0.0,16.0,18.0,5.0,22.3,2.96,78.0,12.0,13.0,3.0,21.55,5.0,5301.28,631.1251953125,14.0,1.0,0.0,0.0,0.0,16.0,2.0,0.89,2.0,4.0,0
2.011988677978516,3.0,11.0,9.0,0.0,0.0,26.54,4.0,21.0,16.0,96.0,0.0,16.0,20.0,7.0,22.9,3.77,85.0,13.0,15.0,1.0,24.3,3.0,5239.52,686.547890625,15.0,0.0,1.0,0.0,7.0,16.0,1.0,0.8,4.0,5.0,1
1.9229879760742188,6.0,15.0,6.0,0.0,0.0,25.88,4.88,18.0,18.0,93.0,0.0,23.0,21.0,7.0,28.6,3.07,85.0,9.0,16.0,7.0,25.8,63.0,5237.6,673.543203125,21.0,0.0,0.0,1.0,3.0,22.0,2.0,1.1,2.0,8.0,0
2.212891235351562,5.0,17.0,1.0,0.0,0.0,22.44,4.43,8.0,6.0,97.0,1.19,22.0,18.0,8.0,27.0,3.58,1.03,7.0,17.0,5.0,25.7,0.0,5306.24,802.052421875,18.0,1.0,0.0,0.0,2.0,21.0,0.0,1.22,2.0,3.0,1
2.40094955444336,3.0,10.0,8.0,0.0,0.0,21.71,3.42,11.0,14.0,95.0,47.0,19.0,18.0,4.0,24.0,3.28,96.0,8.0,12.0,7.0,22.99,0.0,4610.24,720.261640625,12.0,0.0,1.0,1.0,2.0,19.0,2.0,1.06,1.0,5.0,1
2.1648692321777343,3.0,12.0,3.0,0.0,0.0,21.68,6.48,14.0,12.0,90.0,0.0,13.0,15.0,4.0,18.55,2.17,58.0,3.0,11.0,2.0,14.68,3.0,4769.92,651.326640625,12.0,1.0,3.0,0.0,3.0,13.0,0.0,0.87,1.0,7.0,0
1.8752967834472656,3.0,8.0,3.0,0.0,0.0,14.59,2.91,7.0,8.0,91.0,0.0,17.0,11.0,4.0,19.5,3.49,78.0,6.0,16.0,1.0,20.62,0.0,4978.56,609.7746484375,14.0,0.0,4.0,0.0,4.0,17.0,2.0,1.55,0.0,0.0,1
2.7648583984375,2.0,17.0,4.0,0.0,0.0,23.37,1.59,8.0,7.0,95.0,75.0,11.0,21.0,7.0,16.25,2.83,77.0,5.0,5.0,6.0,19.32,12.0,4453.44,816.27578125,6.0,1.0,1.0,1.0,1.0,11.0,0.0,0.52,1.0,3.0,0
2.043558959960937,5.0,8.0,3.0,0.0,0.0,17.97,5.23,11.0,8.0,94.0,60.0,21.0,11.0,5.0,28.0,2.98,100.0,5.0,18.0,3.0,25.48,1.0,4998.72,727.19453125,15.0,1.0,1.0,1.0,0.0,21.0,0.0,1.91,1.0,4.0,1
2.2042524719238283,3.0,12.0,4.0,0.0,0.0,20.73,4.73,14.0,14.0,95.0,0.0,14.0,16.0,3.0,19.5,2.68,64.0,5.0,9.0,5.0,19.72,0.0,4745.12,681.118828125,11.0,0.0,0.0,0.0,3.0,14.0,1.0,0.88,1.0,4.0,0
