averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalAces,totalInVictimFovKills,totalDefuserKills,totalFirstBloodKills,totalLongshotKills,totalPlanterKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,bombsPlanted,bombsDefused,sneakDefuses,winner
1.28935546875,2.0,2.0,1.0,1.0,3.0,7.33,34.0,3.0,4.0,72.0,21.0,3.0,6.0,0.0,3.1,74.0,21.0,1.0,2.0,0.0,5.45,0.0,3350.56,399.4619140625,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0
1.2228660583496094,2.0,2.0,0.0,2.0,0.0,5.26,1.98,7.0,8.0,87.0,0.0,4.0,2.0,4.0,8.65,1.42,25.0,1.0,2.0,0.0,7.21,0.0,4116.96,390.272578125,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,1
1.2006023406982422,1.0,4.0,0.0,0.0,2.0,7.85,1.85,5.0,6.0,90.0,0.0,2.0,6.0,1.0,4.7,1.16,18.0,1.0,2.0,0.0,4.77,10.0,3943.2,355.098515625,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.33,0.0,1.0,0.0,0
99.90836334228516,2.0,3.0,1.0,1.0,1.0,6.62,1.33,5.0,5.0,65.0,26.0,6.0,5.0,0.0,8.0,87.0,31.0,3.0,5.0,0.0,7.22,0.0,3224.0,312.34755859375,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.2,2.0,0.0,0.0,1
90.78890228271484,2.0,6.0,0.0,0.0,0.0,6.01,1.0,4.0,5.0,55.0,19.0,4.0,6.0,0.0,6.0,43.0,14.0,5.0,3.0,1.0,4.0,0.0,2559.36,286.17994140625,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.67,2.0,0.0,0.0,0
1.0486204528808594,3.0,4.0,0.0,2.0,1.0,6.24,1.24,2.0,3.0,62.0,19.0,7.0,5.0,0.0,8.35,61.0,5.0,0.0,4.0,1.0,5.64,0.0,3176.64,319.84798828125,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0,0.0,1.4,1.0,0.0,0.0,1
94.83625793457033,4.0,5.0,0.0,1.0,1.0,6.53,53.0,7.0,7.0,62.0,0.0,7.0,6.0,0.0,9.1,98.0,30.0,3.0,5.0,1.0,8.71,30.0,2799.52,296.5031640625,0.0,7.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,1.17,0.0,0.0,0.0,0
1.042569122314453,1.0,4.0,0.0,0.0,0.0,5.5,52.0,6.0,7.0,77.0,0.0,3.0,4.0,0.0,3.2,50.0,12.0,2.0,3.0,0.0,4.54,1.0,3679.52,296.46130859375,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.75,0.0,0.0,0.0,1
1.57130126953125,5.0,2.0,1.0,2.0,0.0,6.06,2.43,5.0,7.0,90.0,50.0,11.0,3.0,1.0,15.5,1.06,49.0,8.0,8.0,1.0,12.86,0.0,3950.4,451.507578125,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,3.67,2.0,1.0,0.0,1
99.90047454833984,3.0,4.0,0.0,1.0,2.0,8.07,2.07,5.0,6.0,65.0,19.0,5.0,6.0,0.0,7.0,95.0,28.0,1.0,2.0,2.0,8.1,0.0,3129.6,305.45486328125,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.83,2.0,0.0,0.0,0
