averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalAces,totalInVictimFovKills,totalDefuserKills,totalFirstBloodKills,totalLongshotKills,totalPlanterKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,bombsPlanted,bombsDefused,sneakDefuses,matchGame.matchId,winner
76.16168975830078,3.0,1.0,3.0,1.0,2.0,9.26,3.26,8.0,9.0,65.0,35.0,6.0,6.0,2.0,9.0,1.36,27.0,7.0,4.0,1.0,10.53,11.0,5861.76,305.04189453125,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,8715,0
73.8301773071289,5.0,7.0,1.0,2.0,0.0,11.84,3.16,6.0,5.0,65.0,62.0,10.0,8.0,0.0,8.0,1.5,42.0,3.0,6.0,2.0,10.03,0.0,4404.64,279.5030859375,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1.25,0.0,0.0,0.0,8715,1
78.09144592285156,3.0,6.0,1.0,1.0,1.0,8.74,2.0,9.0,7.0,62.0,20.0,3.0,8.0,3.0,3.0,1.18,23.0,2.0,2.0,0.0,5.6,6.0,4789.76,310.83970703125,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.38,0.0,0.0,0.0,8715,0
66.86481475830078,2.0,5.0,1.0,1.0,1.0,8.45,1.45,8.0,7.0,57.0,0.0,4.0,7.0,0.0,6.0,57.0,18.0,0.0,1.0,2.0,6.28,0.0,4527.52,295.12345703125,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.57,1.0,0.0,0.0,8715,1
86.19412994384766,5.0,7.0,1.0,1.0,0.0,11.73,2.96,5.0,3.0,57.0,52.0,11.0,8.0,1.0,11.25,1.79,59.0,4.0,8.0,2.0,15.68,2.0,4676.96,339.5135546875,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,1.38,1.0,0.0,0.0,8715,0
66.80702209472656,2.0,6.0,1.0,0.0,0.0,8.73,1.39,9.0,6.0,65.0,52.0,6.0,7.0,2.0,7.25,1.42,35.0,0.0,4.0,2.0,9.52,0.0,5220.64,271.69013671875,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.86,0.0,0.0,0.0,8715,1
64.40521240234375,4.0,4.0,1.0,1.0,2.0,9.31,1.86,9.0,8.0,67.0,4.0,8.0,7.0,1.0,7.25,2.36,29.0,2.0,6.0,1.0,7.33,0.0,5280.64,292.9150390625,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.14,0.0,0.0,0.0,8715,0
1.079164581298828,3.0,2.0,1.0,2.0,3.0,10.12,2.84,9.0,4.0,85.0,30.0,9.0,6.0,2.0,9.5,1.4,49.0,3.0,7.0,0.0,13.02,0.0,6212.96,430.2739453125,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.5,1.0,0.0,0.0,8715,1
97.17806243896484,4.0,6.0,0.0,1.0,1.0,10.75,2.47,7.0,6.0,68.0,33.0,12.0,7.0,3.0,14.0,1.5,49.0,6.0,9.0,2.0,12.95,30.0,5317.12,431.1580859375,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,1.71,2.0,0.0,0.0,8701,1
78.39860534667969,3.0,6.0,0.0,1.0,2.0,9.53,1.53,10.0,10.0,66.0,10.0,7.0,8.0,3.0,6.75,1.84,36.0,6.0,4.0,2.0,10.93,1.0,5273.28,367.22953125,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.88,0.0,0.0,0.0,8701,0
